county,state,year,homeowner_rate,occupied_house,homeowner_occupied,type1,type2,assisstance_rate_type1,assisstance_rate_type2
Caldwell County,TX,2017,69.10649,"15,010",10372.88415,13,12,0.001253268,0.001156862
Calhoun County,TX,2017,70.10539,"7,614",5337.824395,229,91,0.042901374,0.017048144
Chambers County,TX,2017,82.10065,"15,623",12826.58455,320,1106,0.024948185,0.086227163
Colorado County,TX,2017,82.12687,"8,138",6683.484681,21,60,0.003142073,0.008977353
DeWitt County,TX,2017,74.07427,"7,315",5418.532851,31,20,0.005721106,0.003691036
Fayette County,TX,2017,78.74621,"10,162",8002.18986,30,168,0.003748974,0.020994253
Fort Bend County,TX,2017,79.26165,"263,128",208559.5944,864,3880,0.004142701,0.018603795
Galveston County,TX,2017,69.30513,"132,819",92050.38061,1519,4070,0.016501833,0.044214918
Goliad County,TX,2017,81.2095,"2,815",2286.047425,56,9,0.02449643,0.003936926
Gonzales County,TX,2017,68.24809,"7,275",4965.048548,15,8,0.003021118,0.001611263
Grimes County,TX,2017,77.15943,"10,133",7818.565042,24,27,0.003069617,0.003453319
Hardin County,TX,2017,81.44545,"21,616",17605.24847,295,1181,0.016756367,0.067082268
Harris County,TX,2017,58.25091,"1,692,730",986030.6288,9736,25019,0.009873933,0.025373451
Jackson County,TX,2017,66.96072,"5,558",3721.676818,23,4,0.00618001,0.001074784
Jasper County,TX,2017,73.68863,"13,050",9616.366215,150,155,0.015598408,0.016118355
Jefferson County,TX,2017,64.70536,"95,658",61895.85327,1339,6394,0.021633113,0.103302558
Karnes County,TX,2017,74.44279,"4,594",3419.901773,16,5,0.004678497,0.00146203
Kleberg County,TX,2017,56.59012,"11,530",6524.840836,25,3,0.003831511,0.000459781
Lavaca County,TX,2017,75.29661,"8,191",6167.545325,8,3,0.001297112,0.000486417
Lee County,TX,2017,78.67778,"6,590",5184.865702,12,8,0.002314428,0.001542952
Liberty County,TX,2017,76.27845,"29,469",22478.49643,711,1131,0.031630229,0.050314753
Matagorda County,TX,2017,66.42987,"13,716",9111.520969,121,122,0.01327989,0.013389642
Montgomery County,TX,2017,73.84146,"219,796",162300.5754,686,1304,0.004226726,0.008034476
Newton County,TX,2017,84.11442,"4,979",4188.056972,104,149,0.024832518,0.035577357
Nueces County,TX,2017,60.10277,"130,687",78546.50703,551,243,0.007014952,0.003093709
Orange County,TX,2017,77.0464,"32,811",25279.6943,946,4878,0.037421339,0.192961194
Polk County,TX,2017,76.30247,"18,969",14473.81553,93,108,0.006425396,0.00746175
Refugio County,TX,2017,73.60877,"2,632",1937.382826,251,134,0.129556222,0.069165473
Sabine County,TX,2017,88.40902,"4,387",3878.503707,8,2,0.002062651,0.000515663
San Jacinto County,TX,2017,80.69185,"10,546",8509.762501,179,312,0.021034665,0.036663773
San Patricio County,TX,2017,66.417,"24,796",16468.75932,657,305,0.039893716,0.018519914
Tyler County,TX,2017,84.98558,"7,362",6256.6384,60,82,0.009589814,0.013106079
Victoria County,TX,2017,65.16304,"34,451",22449.31891,526,211,0.023430555,0.009398949
Walker County,TX,2017,56.21465,"24,568",13810.81521,69,43,0.004996085,0.003113502
Waller County,TX,2017,69.01383,"17,298",11938.01231,98,150,0.008209072,0.012564906
Wharton County,TX,2017,67.72536,"15,446",10460.85911,196,549,0.018736511,0.052481349
Ascension Parish,LA,2021,84.53587,"45,866",38773.22213,775,482,0.019988022,0.01243126
Assumption Parish,LA,2021,78.1067,"8,409",6567.992403,364,241,0.055420283,0.0366931
East Baton Rouge Parish,LA,2021,62.61774,"181,478",113637.4222,837,368,0.007365531,0.00323837
East Feliciana Parish,LA,2021,82.18788,"6,886",5659.457417,165,85,0.029154738,0.015019108
Iberia Parish,LA,2021,67.90411,"27,016",18344.97436,101,59,0.005505595,0.00321614
Iberville Parish,LA,2021,75.09305,"11,208",8416.429044,202,82,0.024000678,0.009742849
Jefferson Parish,LA,2021,63.46075,"178,028",112977.904,3757,3112,0.03325429,0.027545209
Lafourche Parish,LA,2021,77.99373,"37,179",28997.28888,1702,3850,0.058695142,0.132771033
Livingston Parish,LA,2021,84.16317,"52,581",44253.83642,1198,811,0.027071099,0.018326095
Orleans Parish,LA,2021,52.49393,"165,125",86680.60191,3615,2262,0.041704833,0.026095804
Plaquemines Parish,LA,2021,70.0188,"8,190",5734.53972,602,461,0.104977911,0.080390061
Pointe Coupee Parish,LA,2021,77.3937,"8,645",6690.685365,43,26,0.006426845,0.003886
St. Bernard Parish,LA,2021,71.60409,"16,223",11616.33152,616,323,0.05302879,0.02780568
St. Charles Parish,LA,2021,80.3525,"19,187",15417.23418,648,1098,0.042030885,0.071219
St. Helena Parish,LA,2021,72.3328,"4,380",3168.17664,434,319,0.136987311,0.10068883
St. James Parish,LA,2021,82.83625,"7,692",6371.76435,398,601,0.062463076,0.094322383
St. John the Baptist Parish,LA,2021,81.13861,"15,803",12822.33454,880,1591,0.068630248,0.124080369
St. Martin Parish,LA,2021,80.25158,"20,238",16241.31476,43,31,0.002647569,0.001908712
St. Mary Parish,LA,2021,67.17267,"19,321",12978.43157,257,181,0.019802085,0.013946215
St. Tammany Parish,LA,2021,80.96999,"102,005",82593.4383,1211,724,0.014662182,0.00876583
Tangipahoa Parish,LA,2021,70.17687,"50,961",35762.83472,2151,1761,0.060146239,0.049241063
Terrebonne Parish,LA,2021,74.89739,"41,344",30965.57692,2009,4535,0.064878494,0.146452947
Washington Parish,LA,2021,71.21836,"17,944",12779.42252,490,220,0.038342891,0.017215175
West Baton Rouge Parish,LA,2021,71.70546,"10,338",7412.910455,64,38,0.008633586,0.005126192
West Feliciana Parish,LA,2021,73.09032,"3,897",2848.32977,29,12,0.010181405,0.004212995
Amite County,MS,2021,83.57452,"5,597",4677.665884,69,14,0.014750947,0.002992946
Hancock County,MS,2021,81.15951,"19,034",15447.90113,50,21,0.003236686,0.001359408
Harrison County,MS,2021,58.03938,"81,633",47379.28708,130,101,0.002743815,0.002131733
Jackson County,MS,2021,73.67317,"55,677",41019.01086,88,78,0.002145347,0.001901557
Pearl River County,MS,2021,78.71274,"21,703",17083.02596,51,15,0.00298542,0.000878065
Pike County,MS,2021,69.62098,"16,232",11300.87747,144,28,0.012742373,0.002477684
Walthall County,MS,2021,86.03332,"5,653",4863.46358,115,13,0.0236457,0.002672992
Wilkinson County,MS,2021,81.03402,"3,313",2684.657083,25,1,0.009312176,0.000372487
Alachua County,FL,2017,55.37995,"112,723",62425.94104,76,117,0.001217443,0.001874221
Baker County,FL,2017,77.51935,"9,087",7044.183335,9,31,0.00127765,0.004400794
Bradford County,FL,2017,70.17544,"9,462",6640.000133,37,122,0.005572289,0.018373494
Brevard County,FL,2017,71.64554,"257,026",184147.6656,384,518,0.002085283,0.00281296
Broward County,FL,2017,62.10725,"756,657",469938.8546,793,589,0.001687454,0.001253355
Charlotte County,FL,2017,75.57708,"85,846",64879.9001,51,78,0.000786068,0.001202221
Citrus County,FL,2017,79.53176,"69,438",55225.26351,46,46,0.000832952,0.000832952
Clay County,FL,2017,74.25214,"78,939",58613.89679,68,281,0.001160134,0.004794085
Collier County,FL,2017,67.72827,"157,921",106957.1613,547,654,0.005114197,0.006114598
Columbia County,FL,2017,71.93809,"26,424",19008.9209,34,54,0.001788634,0.002840771
DeSoto County,FL,2017,64.44562,"11,941",7695.451484,40,111,0.005197876,0.014424105
Dixie County,FL,2017,77.40342,"6,248",4836.165682,20,11,0.004135508,0.002274529
Duval County,FL,2017,59.07883,"399,759",236172.94,329,749,0.001393047,0.003171405
Flagler County,FL,2017,74.05306,"48,450",35878.70757,53,170,0.001477199,0.004738186
Gilchrist County,FL,2017,80.46093,"6,551",5270.995524,13,6,0.002466327,0.001138305
Glades County,FL,2017,72.0869,"4,250",3063.69325,24,18,0.007833682,0.005875262
Hamilton County,FL,2017,70.87513,"4,690",3324.043597,9,0,0.002707546,0
Hardee County,FL,2017,68.51174,"8,059",5521.361127,35,82,0.006339017,0.01485141
Hendry County,FL,2017,67.2901,"12,644",8508.160244,106,98,0.012458628,0.011518354
Hernando County,FL,2017,75.74802,"79,773",60426.46799,73,90,0.00120808,0.001489414
Highlands County,FL,2017,71.30065,"44,376",31640.37644,148,167,0.004677568,0.005278066
Hillsborough County,FL,2017,59.60767,"559,949",333772.5521,271,286,0.00081193,0.000856871
Indian River County,FL,2017,73.19095,"71,177",52095.12248,49,80,0.000940587,0.001535652
Lafayette County,FL,2017,83.52329,"2,727",2277.680118,2,3,0.000878086,0.00131713
Lake County,FL,2017,71.20357,"156,923",111734.7782,154,106,0.001378264,0.000948675
Lee County,FL,2017,65.87072,"318,303",209668.4779,458,830,0.002184401,0.00395863
Levy County,FL,2017,73.43293,"17,756",13038.75105,13,11,0.000997028,0.000843639
Manatee County,FL,2017,67.81733,"168,437",114229.4761,93,96,0.000814151,0.000840414
Marion County,FL,2017,73.52588,"156,906",115366.5173,178,211,0.001542909,0.001828954
Martin County,FL,2017,74.63124,"68,750",51308.9775,26,34,0.000506734,0.000662652
Miami-Dade County,FL,2017,55.45565,"967,414",536485.7219,1903,1218,0.003547159,0.002270331
Monroe County,FL,2017,56.46792,"36,436",20574.65133,1237,1856,0.060122526,0.09020809
Nassau County,FL,2017,77.92069,"35,919",27988.33264,38,62,0.001357709,0.002215209
Okeechobee County,FL,2017,70.64018,"14,433",10195.49718,53,42,0.005198373,0.004119466
Orange County,FL,2017,56.15252,"519,437",291676.9653,371,316,0.001271955,0.00108339
Osceola County,FL,2017,58.69926,"130,574",76645.97175,163,174,0.002126661,0.002270178
Palm Beach County,FL,2017,66.48902,"607,880",404173.4548,574,237,0.001420182,0.000586382
Pasco County,FL,2017,70.43391,"225,214",158627.0261,217,173,0.001367989,0.001090609
Pinellas County,FL,2017,65.31525,"442,789",289208.7423,257,122,0.000888632,0.000421841
Polk County,FL,2017,65.67081,"272,418",178899.1072,585,610,0.00327,0.003409743
Putnam County,FL,2017,70.79403,"29,569",20933.08673,112,138,0.005350382,0.006592434
Sarasota County,FL,2017,72.46193,"200,211",145076.7547,89,88,0.000613468,0.000606575
Seminole County,FL,2017,67.20455,"182,420",122594.5401,161,184,0.001313272,0.001500883
St. Johns County,FL,2017,76.66989,"104,640",80227.3729,85,187,0.001059489,0.002330875
St. Lucie County,FL,2017,69.83533,"128,997",90085.48064,132,255,0.001465275,0.002830645
Sumter County,FL,2017,89.14719,"62,907",56079.82281,63,43,0.001123399,0.000766764
Suwannee County,FL,2017,69.65651,"16,385",11413.21916,16,11,0.001401883,0.000963795
Union County,FL,2017,69.01324,"4,271",2947.55548,4,11,0.001357057,0.003731906
Volusia County,FL,2017,68.28473,"232,301",158626.1106,229,292,0.001443646,0.001840807
Bulloch County,GA,2017,54.238,"29,747",16134.17786,0,0,0,0
Lowndes County,MS,2017,60.7012,"23,680",14374.04416,0,0,0,0
Cherokee County,SC,2017,71.51984,"22,349",15983.96904,0,0,0,0
Blanco County,TX,2017,74.02479,"4,787",3543.566697,0,0,0,0
Burnet County,TX,2017,75.75199,"19,245",14578.47048,0,0,0,0
Volusia County,FL,2017,68.28473,"232,301",158626.1106,0,0,0,0
Camden County,GA,2017,58.66619,"20,374",11952.64955,31,80,0.002593567,0.006693077
Charlton County,GA,2017,72.55101,"3,993",2896.961829,7,9,0.002416325,0.003106703
Chatham County,GA,2017,55.33349,"118,480",65559.11895,41,60,0.00062539,0.000915204
Coffee County,GA,2017,66.64704,"15,277",10181.6683,7,3,0.00068751,0.000294647
Glynn County,GA,2017,61.56666,"34,339",21141.37538,38,106,0.001797423,0.005013865
Liberty County,GA,2017,43.01486,"23,413",10071.06917,18,16,0.001787298,0.001588709
McIntosh County,GA,2017,77.20089,"4,681",3613.773661,9,17,0.002490471,0.004704224
Taylor County,FL,2017,80.63919,"8,138",6562.417282,0,0,0,0
Madison County,FL,2017,70.95461,"6,877",4879.54853,0,0,0,0
Lowndes County,GA,2017,53.78345,"44,207",23776.04974,0,0,0,0
Echols County,GA,2017,63.05161,"1,286",810.8437046,0,0,0,0
Ware County,GA,2017,62.86952,"13,651",8582.318175,0,0,0,0
Clinch County,GA,2017,68.62217,"2,587",1775.255538,0,0,0,0
Lanier County,GA,2017,58.83228,"3,570",2100.312396,0,0,0,0
Atkinson County,GA,2017,74.59531,"3,064",2285.600298,0,0,0,0
Bacon County,GA,2017,70.59819,"4,251",3001.129057,0,0,0,0
Pierce County,GA,2017,74.82993,"7,506",5616.734546,0,0,0,0
Brantley County,GA,2017,78.08496,"6,915",5399.574984,0,0,0,0
Acadia Parish,LA,2020,70.03849,"22,029",15428.77896,140,66,0.009073952,0.00427772
Allen Parish,LA,2020,73.80405,"7,851",5794.355966,313,200,0.054018083,0.034516347
Beauregard Parish,LA,2020,80.53512,"13,797",11111.43051,584,447,0.052558489,0.040228844
Caddo Parish,LA,2020,61.91002,"99,029",61308.87371,106,58,0.00172895,0.000946029
Calcasieu Parish,LA,2020,70.19434,"83,865",58868.48324,2473,3345,0.042008896,0.056821576
Cameron Parish,LA,2020,87.04185,"2,121",1846.157639,168,459,0.090999813,0.248624489
Grant Parish,LA,2020,76.72805,"7,823",6002.435352,137,128,0.022824069,0.021324678
Jackson Parish,LA,2020,68.2691,"6,064",4139.838224,31,16,0.007488215,0.003864885
Jefferson Davis Parish,LA,2020,78.2544,"12,197",9544.689168,291,224,0.030488159,0.023468548
LaSalle Parish,LA,2020,82.77057,"5,140",4254.407298,27,3,0.00634636,0.000705151
Lincoln Parish,LA,2020,51.40013,"18,075",9290.573498,39,28,0.004197803,0.003013807
Morehouse Parish,LA,2020,68.47598,"10,302",7054.39546,60,40,0.008505335,0.005670224
Natchitoches Parish,LA,2020,54.57981,"15,213",8303.226495,101,61,0.012163946,0.007346542
Ouachita Parish,LA,2020,59.90652,"62,654",37533.83104,221,100,0.005888021,0.002664263
Rapides Parish,LA,2020,65.09051,"51,268",33370.60267,471,255,0.014114219,0.007641456
Sabine Parish,LA,2020,73.78451,"9,202",6789.65061,74,32,0.010898941,0.004713055
St. Landry Parish,LA,2020,69.07246,"32,499",22447.85878,129,52,0.005746651,0.002316479
Union Parish,LA,2020,80.50488,"8,759",7051.422439,51,29,0.007232583,0.004112645
Vermilion Parish,LA,2020,76.79689,"22,195",17045.06974,158,79,0.009269543,0.004634771
Vernon Parish,LA,2020,55.29379,"18,761",10373.66794,215,161,0.020725553,0.015520065
Winn Parish,LA,2020,71.06272,"5,181",3681.759523,62,33,0.016839774,0.008963106
Evangeline Parish,LA,2020,64.38888,"12,728",8195.416646,0,0,0,0
De Soto Parish,LA,2020,69.57114,"10,689",7436.459155,0,0,0,0
Red River Parish,LA,2020,73.73383,"3,042",2242.983109,0,0,0,0
Bienville Parish,LA,2020,69.44211,"5,459",3790.844785,0,0,0,0
Bossier Parish,LA,2020,66.09113,"50,092",33106.36884,0,0,0,0
Webster Parish,LA,2020,64.92413,"15,684",10182.70055,0,0,0,0
Claiborne Parish,LA,2020,66.54927,"5,498",3658.878865,0,0,0,0
Bay County,FL,2018,63.63823,"70,134",44632.03623,2363,2144,0.052944033,0.048037244
Calhoun County,FL,2018,82.40316,"4,784",3942.167174,372,281,0.094364339,0.071280589
Franklin County,FL,2018,76.24244,"4,947",3771.713507,78,52,0.020680256,0.013786837
Gadsden County,FL,2018,70.57386,"16,806",11860.64291,234,62,0.019729116,0.005227373
Gulf County,FL,2018,72.44031,"5,571",4035.64967,268,353,0.066408143,0.087470427
Holmes County,FL,2018,73.52005,"7,282",5353.730041,26,9,0.004856427,0.001681071
Jackson County,FL,2018,71.49058,"17,083",12212.73578,666,364,0.054533236,0.029804952
Leon County,FL,2018,54.09181,"121,085",65497.06814,38,9,0.000580179,0.000137411
Liberty County,FL,2018,75.66942,"2,491",1884.925252,64,27,0.033953601,0.014324175
Taylor County,FL,2018,81.55334,"8,138",6636.810809,5,2,0.000753374,0.00030135
Wakulla County,FL,2018,79.48826,"11,970",9514.744722,56,42,0.005885602,0.004414201
Washington County,FL,2018,76.49057,"9,124",6978.999607,144,47,0.02063333,0.00673449
Baker County,GA,2018,63.27684,"1,187",751.0960908,14,10,0.018639426,0.013313876
Calhoun County,GA,2018,65.40922,"1,671",1092.988066,6,6,0.005489538,0.005489538
Clay County,GA,2018,66.32722,"1,250",829.09025,8,3,0.00964913,0.003618424
Crisp County,GA,2018,56.58047,"8,346",4722.206026,16,13,0.003388247,0.002752951
Decatur County,GA,2018,55.02379,"11,466",6309.027761,77,21,0.012204733,0.003328564
Dougherty County,GA,2018,44.41042,"35,252",15655.56126,37,17,0.002363377,0.001085876
Early County,GA,2018,62.03822,"4,312",2675.088046,34,16,0.012709862,0.005981112
Grady County,GA,2018,60.2343,"10,316",6213.770388,15,7,0.002413993,0.00112653
Laurens County,GA,2018,60.88963,"19,501",11874.08675,6,6,0.000505302,0.000505302
Lee County,GA,2018,72.02444,"11,971",8622.045712,28,13,0.003247489,0.001507763
Miller County,GA,2018,65.10518,"2,537",1651.718417,36,16,0.021795483,0.009686881
Mitchell County,GA,2018,60.2794,"8,156",4916.387864,38,14,0.007729252,0.002847619
Randolph County,GA,2018,53.08249,"2,690",1427.918981,19,4,0.013306077,0.002801279
Seminole County,GA,2018,65.20696,"3,798",2476.560341,85,44,0.034321796,0.017766577
Sumter County,GA,2018,56.17349,"11,658",6548.705464,11,3,0.001679721,0.000458106
Terrell County,GA,2018,50.26368,"3,664",1841.661235,11,3,0.005972868,0.001628964
Thomas County,GA,2018,61.67676,"18,440",11373.19454,5,5,0.00043963,0.00043963
Tift County,GA,2018,57.6459,"15,921",9177.803739,7,3,0.00076271,0.000326876
Turner County,GA,2018,65.94232,"3,512",2315.894278,18,1,0.007772376,0.000431799
Worth County,GA,2018,65.01781,"8,183",5320.407392,28,16,0.005262755,0.003007289
Brantley County,GA,2018,79.74362,"6,915",5514.271323,0,0,0,0
Colquitt County,GA,2018,60.78444,"17,172",10437.90404,0,0,0,0
Dooly County,GA,2018,63.97363,"4,047",2589.012806,0,0,0,0
Houston County,GA,2018,64.10772,"62,115",39820.51028,0,0,0,0
Pulaski County,GA,2018,60.74066,"3,595",2183.626727,0,0,0,0
Wilcox County,GA,2018,74.32513,"2,811",2089.279404,0,0,0,0
Ben Hill County,GA,2018,61.03155,"7,074",4317.371847,0,0,0,0
Dodge County,GA,2018,66.00902,"7,507",4955.297131,0,0,0,0
Bleckley County,GA,2018,74.57102,"4,547",3390.744279,0,0,0,0
Jefferson County,GA,2018,65.26848,"6,170",4027.065216,0,0,0,0
Baldwin County,AL,2020,65.26848,"6,170",4027.065216,1171,778,0.290782477,0.193192799
Escambia County,AL,2020,65.26848,"6,170",4027.065216,197,98,0.048918999,0.02433534
Mobile County,AL,2020,65.26848,"6,170",4027.065216,2268,1124,0.56318929,0.279111447
Bay County,FL,2020,67.39341,"70,134",47265.69417,25,44,0.000528925,0.000930908
Escambia County,FL,2020,64.145,"128,160",82208.232,1140,681,0.013867224,0.008283842
Okaloosa County,FL,2020,66.77727,"83,957",56064.19257,45,33,0.000802651,0.000588611
Santa Rosa County,FL,2020,77.14747,"69,454",53582.00381,207,150,0.003863237,0.002799447
Walton County,FL,2020,74.68625,"29,981",22391.68461,22,18,0.000982508,0.00080387
