county,state,node1_scale,SVI_scale,population_scale,hwm_scale,wind_50_up_scale
Franklin County,FL,0.240024515,3.537227707,0.02272987,0.753226919,1.419304947
Gadsden County,FL,0.399868298,4.430253671,0.111278637,1.00E-09,1.419304947
Gulf County,FL,0.074118341,2.474733119,0.034286117,0.821702093,1.419304947
Holmes County,FL,0.376833618,4.158121447,0.042809818,1.00E-09,0.709652474
Jackson County,FL,0.34205132,4.274047809,0.116927496,1.00E-09,1.419304947
Leon County,FL,0.486367658,1.994817625,0.74656194,1.00E-09,1.00E-09
Liberty County,FL,0.230350574,3.660522271,0.014330263,1.00E-09,1.419304947
Wakulla County,FL,0.402494029,1.547322216,0.076341028,0.973281229,1.419304947
Washington County,FL,0.249030531,3.957706379,0.056641119,1.00E-09,1.419304947
Baker County,GA,1000000,3.213518075,0.00052223,1.00E-09,0
Calhoun County,GA,1000000,4.367869569,0.008968372,1.00E-09,0
Clay County,GA,1000000,4.139455337,1.00E-09,1.00E-09,0
Crisp County,GA,1000000,4.408640281,0.051015528,1.00E-09,0
Decatur County,GA,1000000,4.211172494,0.061242935,1.00E-09,0
Dougherty County,GA,1000000,4.239662871,0.22315189,1.00E-09,0
Early County,GA,1000000,4.08640429,0.019136317,1.00E-09,0
Grady County,GA,1000000,4.114403454,0.056591998,1.00E-09,0
Laurens County,GA,1000000,3.502842769,0.114921311,1.00E-09,0
Lee County,GA,1000000,1.295329741,0.069458987,1.00E-09,0
Miller County,GA,1000000,3.397723101,0.007238813,1.00E-09,0
Mitchell County,GA,1000000,4.419446976,0.049769418,1.00E-09,0
Randolph County,GA,1000000,4.3506771,0.01015502,1.00E-09,0
Seminole County,GA,1000000,3.665434405,0.013924373,1.00E-09,0
Sumter County,GA,1000000,4.362957435,0.069575325,1.00E-09,0
Terrell County,GA,1000000,4.267662035,0.01474391,1.00E-09,0
Thomas County,GA,1000000,4.040721444,0.10716027,1.00E-09,0
Tift County,GA,1000000,3.893848636,0.097356851,1.00E-09,0
Turner County,GA,1000000,4.385062038,0.012988498,1.00E-09,0
Worth County,GA,1000000,3.180606777,0.045030582,1.00E-09,0
Colquitt County,GA,1000000,4.386535678,0.11005838,1.00E-09,0
Dooly County,GA,1000000,4.225417683,0.027985765,1.00E-09,0
Houston County,GA,1000000,2.351438555,0.394616076,1.00E-09,0
Pulaski County,GA,1000000,3.721923946,0.021189038,1.00E-09,0
Wilcox County,GA,1000000,3.579472059,0.015364379,1.00E-09,0
Ben Hill County,GA,1000000,3.853077924,0.036033773,1.00E-09,0
Dodge County,GA,1000000,4.097210985,0.046299959,1.00E-09,0
Bleckley County,GA,1000000,3.199272886,0.025690027,1.00E-09,0
Jefferson County,GA,1000000,4.203313079,0.032419537,1.00E-09,0
Baldwin County,AL,1000000,1.311539784,0.595278527,1.00E-09,0
Escambia County,AL,1000000,3.950338178,0.087333681,1.00E-09,0
Mobile County,AL,1000000,3.553437749,1.063500393,1.00E-09,0
Escambia County,FL,0.177689536,3.320602597,0.826103557,1.00E-09,1.419304947
Okaloosa County,FL,0.432493975,2.243371607,0.540131707,1.00E-09,1.419304947
Santa Rosa County,FL,0.285835143,2.041482899,0.481507672,1.00E-09,2.12895742
Walton County,FL,0.582437057,3.129520583,0.188651195,1.00E-09,1.00E-09
